country,date,value
BE,2023-01-01,109680.9961877
BE,2023-04-01,109823.48351742
BE,2023-07-01,109867.70955507
BE,2023-10-01,110174.75495223
DE,2023-01-01,767749.85533136
DE,2023-04-01,766579.528616
DE,2023-07-01,768042.51758668
DE,2023-10-01,765189.77942433
ES,2023-01-01,307785.38193236
ES,2023-04-01,308542.44633369
ES,2023-07-01,310574.81498214
ES,2023-10-01,312857.33583301
FR,2023-01-01,573107.48685446
FR,2023-04-01,577015.80436607
FR,2023-07-01,577431.38595
FR,2023-10-01,580040.49445453
IT,2023-01-01,426208.88956276
IT,2023-04-01,425487.01517777
IT,2023-07-01,426390.86872825
IT,2023-10-01,426223.63982715
NL,2023-01-01,199216.9696803
NL,2023-04-01,198808.0053591
NL,2023-07-01,197944.29421753
NL,2023-10-01,198359.90671049
