country,date,value
BE,2010-01-01,89884.136389075
BE,2010-04-01,90704.474422078
BE,2010-07-01,91064.03295381
BE,2010-10-01,91589.756235037
BE,2011-01-01,92218.729978927
BE,2011-04-01,92451.614314861
BE,2011-07-01,92715.871231997
BE,2011-10-01,92871.042893739
BE,2012-01-01,92861.656488042
BE,2012-04-01,92662.850724142
BE,2012-07-01,92821.743123278
BE,2012-10-01,92709.951877053
BE,2013-01-01,92343.459243815
BE,2013-04-01,92949.009254571
BE,2013-07-01,93322.266864887
BE,2013-10-01,93575.107883202
BE,2014-01-01,94115.291302935
BE,2014-04-01,94332.954440441
BE,2014-07-01,94965.141548444
BE,2014-10-01,95347.531877816
BE,2015-01-01,95602.571513683
BE,2015-04-01,96047.115069965
BE,2015-07-01,96178.355625292
BE,2015-10-01,96516.519917012
BE,2016-01-01,96626.366232327
BE,2016-04-01,97197.668546622
BE,2016-07-01,97374.572697229
BE,2016-10-01,97732.947357972
BE,2017-01-01,98333.761884772
BE,2017-04-01,98554.807510818
BE,2017-07-01,98495.529399166
BE,2017-10-01,99282.211671203
BE,2018-01-01,99691.746471104
BE,2018-04-01,100196.5828856
BE,2018-07-01,100632.50109611
BE,2018-10-01,101557.18890055
BE,2019-01-01,101974.41886188
BE,2019-04-01,102579.29237492
BE,2019-07-01,103388.72188239
BE,2019-10-01,103957.91014135
BE,2020-01-01,101255.2172362
BE,2020-04-01,90213.844459447
BE,2020-07-01,100573.81491995
BE,2020-10-01,100115.0649118
BE,2021-01-01,101695.70180624
BE,2021-04-01,103260.44100453
BE,2021-07-01,105274.45924307
BE,2021-10-01,106251.32193323
BE,2022-01-01,106998.76733821
BE,2022-04-01,108392.69086527
BE,2022-07-01,109221.73880627
BE,2022-10-01,109500.20217527
BE,2023-01-01,109680.9961877
BE,2023-04-01,109823.48351742
BE,2023-07-01,109867.70955507
BE,2023-10-01,110174.75495223
DE,2010-01-01,638005.20089926
DE,2010-04-01,651903.46465381
DE,2010-07-01,658194.26548914
DE,2010-10-01,662510.06895778
DE,2011-01-01,674487.61844762
DE,2011-04-01,676316.28892753
DE,2011-07-01,679973.6214056
DE,2011-10-01,679973.66381427
DE,2012-01-01,681436.5425224
DE,2012-04-01,682094.86084174
DE,2012-07-01,683557.80740374
DE,2012-10-01,681290.25804428
DE,2013-01-01,677504.73262817
DE,2013-04-01,685697.35890507
DE,2013-07-01,689135.36220591
DE,2013-10-01,689940.04133898
DE,2014-01-01,697144.92720309
DE,2014-04-01,697364.37512461
DE,2014-07-01,700948.4508602
DE,2014-10-01,706141.78308112
DE,2015-01-01,704551.00829567
DE,2015-04-01,708866.62516615
DE,2015-07-01,712158.23372632
DE,2015-10-01,715449.8677317
DE,2016-01-01,722380.63241251
DE,2016-04-01,724721.26039802
DE,2016-07-01,726915.66327756
DE,2016-10-01,729841.42069381
DE,2017-01-01,738582.35719118
DE,2017-04-01,745019.42554116
DE,2017-07-01,750213.03765933
DE,2017-10-01,757381.56232684
DE,2018-01-01,753705.70574022
DE,2018-04-01,759191.7341434
DE,2018-07-01,753705.69725848
DE,2018-10-01,758460.25238066
DE,2019-01-01,762702.73973468
DE,2019-04-01,763214.82446631
DE,2019-07-01,765262.90045905
DE,2019-10-01,764970.36542975
DE,2020-01-01,748127.82863213
DE,2020-04-01,681565.76175033
DE,2020-07-01,740886.39497326
DE,2020-10-01,749298.08749361
DE,2021-01-01,740960.21999196
DE,2021-04-01,759831.66406194
DE,2021-07-01,760124.26694512
DE,2021-10-01,764805.56532482
DE,2022-01-01,766195.54352332
DE,2022-04-01,766049.26752694
DE,2022-07-01,770584.28991025
DE,2022-10-01,766634.42240288
DE,2023-01-01,767749.85533136
DE,2023-04-01,766579.528616
DE,2023-07-01,768042.51758668
DE,2023-10-01,765189.77942433
ES,2010-01-01,269052.38128999
ES,2010-04-01,269384.65893247
ES,2010-07-01,269214.74422893
ES,2010-10-01,269493.21554862
ES,2011-01-01,269280.82216919
ES,2011-04-01,268584.17188468
ES,2011-07-01,266945.4389661
ES,2011-10-01,265441.69383978
ES,2012-01-01,262943.94769775
ES,2012-04-01,260395.22714466
ES,2012-07-01,259199.21642586
ES,2012-10-01,257049.79542608
ES,2013-01-01,256343.70543582
ES,2013-04-01,256081.28161591
ES,2013-07-01,255918.91867697
ES,2013-10-01,256406.00749378
ES,2014-01-01,257375.46527453
ES,2014-04-01,258764.98996126
ES,2014-07-01,260834.17346214
ES,2014-10-01,263356.46283912
ES,2015-01-01,266562.18691256
ES,2015-04-01,269547.0218714
ES,2015-07-01,272019.2808079
ES,2015-10-01,274449.06106852
ES,2016-01-01,276354.93765988
ES,2016-04-01,277269.64514727
ES,2016-07-01,279461.54482293
ES,2016-10-01,281049.30333044
ES,2017-01-01,283039.19330301
ES,2017-04-01,285999.48502689
ES,2017-07-01,287805.30073729
ES,2017-10-01,289558.25409547
ES,2018-01-01,290795.79951958
ES,2018-04-01,292692.23640519
ES,2018-07-01,294326.2494709
ES,2018-10-01,296048.99577067
ES,2019-01-01,297864.25118682
ES,2019-04-01,298723.26441026
ES,2019-07-01,299295.31057885
ES,2019-10-01,301002.95334942
ES,2020-01-01,285418.94312313
ES,2020-04-01,234641.82191154
ES,2020-07-01,271955.09080879
ES,2020-10-01,273928.93328157
ES,2021-01-01,277220.55867736
ES,2021-04-01,281020.98421319
ES,2021-07-01,286560.20354857
ES,2021-10-01,292381.67008595
ES,2022-01-01,296308.58767886
ES,2022-04-01,301419.24437309
ES,2022-07-01,303994.39610229
ES,2022-10-01,305730.35799011
ES,2023-01-01,307785.38193236
ES,2023-04-01,308542.44633369
ES,2023-07-01,310574.81498214
ES,2023-10-01,312857.33583301
FR,2010-01-01,494219.57343979
FR,2010-04-01,496720.96851606
FR,2010-07-01,499983.00545812
FR,2010-10-01,503080.55258604
FR,2011-01-01,509615.67630474
FR,2011-04-01,509595.73270084
FR,2011-07-01,511373.85770963
FR,2011-10-01,512958.29618687
FR,2012-01-01,513103.92042974
FR,2012-04-01,510885.59875835
FR,2012-07-01,512023.10286895
FR,2012-10-01,512069.72778077
FR,2013-01-01,512452.60904119
FR,2013-04-01,516950.61040859
FR,2013-07-01,516848.10747144
FR,2013-10-01,520591.03680838
FR,2014-01-01,520079.24081106
FR,2014-04-01,520867.19283713
FR,2014-07-01,524008.4002871
FR,2014-10-01,522962.79845932
FR,2015-01-01,525931.7003585
FR,2015-04-01,526190.78753706
FR,2015-07-01,527596.27259554
FR,2015-10-01,528781.92883088
FR,2016-01-01,530904.48526914
FR,2016-04-01,529596.65200092
FR,2016-07-01,530241.1358494
FR,2016-10-01,532991.01744992
FR,2017-01-01,536649.95007675
FR,2017-04-01,541462.10812357
FR,2017-07-01,545469.33513019
FR,2017-10-01,548850.58451536
FR,2018-01-01,548422.06653972
FR,2018-04-01,549548.07163547
FR,2018-07-01,552262.1086506
FR,2018-10-01,556645.74872178
FR,2019-01-01,561323.15268821
FR,2019-04-01,564642.50503245
FR,2019-07-01,564810.49845267
FR,2019-10-01,561902.05621757
FR,2020-01-01,533268.0718392
FR,2020-04-01,467588.03469604
FR,2020-07-01,540677.12068727
FR,2020-10-01,540094.08469944
FR,2021-01-01,542146.65885196
FR,2021-04-01,549089.36874582
FR,2021-07-01,564627.95159177
FR,2021-10-01,567904.99115478
FR,2022-01-01,567170.40174454
FR,2022-04-01,569678.62436088
FR,2022-07-01,572412.15579964
FR,2022-10-01,572774.46460379
FR,2023-01-01,573107.48685446
FR,2023-04-01,577015.80436607
FR,2023-07-01,577431.38595
FR,2023-10-01,580040.49445453
IT,2010-01-01,400911.47527698
IT,2010-04-01,403477.3104248
IT,2010-07-01,404568.2079906
IT,2010-10-01,408104.00630762
IT,2011-01-01,410158.0250525
IT,2011-04-01,409384.79131319
IT,2011-07-01,407628.08813849
IT,2011-10-01,403722.20035649
IT,2012-01-01,399112.03187835
IT,2012-04-01,396085.91739593
IT,2012-07-01,393354.36391625
IT,2012-10-01,390573.58365059
IT,2013-01-01,387041.87275623
IT,2013-04-01,387020.7247868
IT,2013-07-01,388279.11782474
IT,2013-10-01,387956.38914844
IT,2014-01-01,387786.40567989
IT,2014-04-01,387973.62740923
IT,2014-07-01,388057.77500187
IT,2014-10-01,387655.43044066
IT,2015-01-01,389016.8976153
IT,2015-04-01,390549.32568565
IT,2015-07-01,390699.76061103
IT,2015-10-01,392772.08390088
IT,2016-01-01,393465.87946932
IT,2016-04-01,394544.51476713
IT,2016-07-01,397345.82100312
IT,2016-10-01,398849.37054379
IT,2017-01-01,400634.24139205
IT,2017-04-01,402188.97257301
IT,2017-07-01,402874.68215314
IT,2017-10-01,405278.35324969
IT,2018-01-01,404562.07685661
IT,2018-04-01,405398.04364808
IT,2018-07-01,405381.87167146
IT,2018-10-01,406587.92792792
IT,2019-01-01,407464.23580394
IT,2019-04-01,408589.43217729
IT,2019-07-01,407077.35236324
IT,2019-10-01,405563.40655188
IT,2020-01-01,381953.5646836
IT,2020-04-01,334865.03390028
IT,2020-07-01,383163.35293466
IT,2020-10-01,382912.59844002
IT,2021-01-01,389109.57548132
IT,2021-04-01,398414.77088635
IT,2021-07-01,410950.45190693
IT,2021-10-01,414823.99573568
IT,2022-01-01,416799.37602282
IT,2022-04-01,423376.48337173
IT,2022-07-01,425833.11324886
IT,2022-10-01,424869.45892768
IT,2023-01-01,426208.88956276
IT,2023-04-01,425487.01517777
IT,2023-07-01,426390.86872825
IT,2023-10-01,426223.63982715
NL,2010-01-01,159139.25482497
NL,2010-04-01,160600.64000003
NL,2010-07-01,160742.72771186
NL,2010-10-01,162131.62746315
NL,2011-01-01,163917.31452716
NL,2011-04-01,163820.63620282
NL,2011-07-01,163584.59218596
NL,2011-10-01,162722.78900185
NL,2012-01-01,162576.82601643
NL,2012-04-01,162496.04733757
NL,2012-07-01,161719.80544567
NL,2012-10-01,160824.62572575
NL,2013-01-01,160757.40626457
NL,2013-04-01,161446.01779039
NL,2013-07-01,162257.75617082
NL,2013-10-01,163238.4632637
NL,2014-01-01,163615.33150056
