year,country,quarter,education_expenditure.total_gdp_percentage,education_expenditure.per_student_primary,education_expenditure.per_student_secondary,education_expenditure.per_student_tertiary,education_expenditure.research_development,education_expenditure.infrastructure_investment,education_expenditure.teacher_training_budget,education_expenditure.digital_resources_budget,education_expenditure.special_education_funding,education_participation.enrollment_rate_primary,education_participation.enrollment_rate_secondary,education_participation.enrollment_rate_tertiary,education_participation.dropout_rate,education_participation.international_student_percentage,education_participation.special_needs_student_integration,education_participation.adult_education_participation,education_participation.vocational_training_enrollment,education_quality.teacher_qualification_index,education_quality.average_class_size,education_quality.teaching_hours_yearly,education_quality.digital_learning_percentage,education_quality.student_satisfaction_score,education_quality.graduate_employment_rate,education_quality.research_publication_index,education_quality.international_ranking_score,education_resources.student_teacher_ratio_primary,education_resources.student_teacher_ratio_secondary,education_resources.teacher_salary_index,education_resources.digital_resources_investment,education_resources.classroom_technology_level,education_resources.library_resources_per_student,education_resources.laboratory_equipment_index,education_resources.sports_facilities_rating,last_updated,education_expenditure.total_gdp_percentage_normalized,education_expenditure.per_student_primary_normalized,education_expenditure.per_student_secondary_normalized,education_expenditure.per_student_tertiary_normalized,education_expenditure.research_development_normalized,education_resources.student_teacher_ratio_primary_normalized,education_resources.student_teacher_ratio_secondary_normalized,education_resources.teacher_salary_index_normalized,education_resources.digital_resources_investment_normalized,education_participation.enrollment_rate_primary_normalized,education_participation.enrollment_rate_secondary_normalized,education_participation.enrollment_rate_tertiary_normalized,education_participation.dropout_rate_normalized,education_quality.teacher_qualification_index_normalized,education_quality.average_class_size_normalized,education_quality.teaching_hours_yearly_normalized,education_quality.digital_learning_percentage_normalized,time_period,total_investment_per_student,overall_quality_score
1990,AT,Q1,6.71,9882,8677,14681,1.89,561,675,557,455,98.6,90.6,67.0,7.0,15.8,90.8,23.7,28.2,0.83,26,837,55,4.0,65.7,0.97,95,16.7,14.4,105,835,4.0,43,0.75,3.7,2024-12-14 14:21:56.929000,0.9033333333333333,0.9606666666666667,0.1692923230807702,0.9372996794871795,0.25999999999999995,0.5874999999999999,0.8800000000000001,0.1,0.67,0.5333333333333314,0.07499999999999929,0.68,0.2,0.52,0.8,0.185,0.8333333333333334,1990-Q1,11080.0,90.5698611111111
1990,BE,Q1,4.27,9754,8121,10186,1.76,1969,381,531,503,97.7,95.6,67.2,6.7,7.5,72.5,11.8,25.9,0.86,23,914,45,3.4,89.5,1.23,80,13.5,14.4,132,574,5.0,93,0.69,2.3,2024-12-14 14:21:56.932000,0.08999999999999986,0.918,0.030257564391097773,0.03685897435897436,0.17333333333333334,0.1875,0.8800000000000001,0.64,0.148,0.23333333333333428,0.6999999999999993,0.6880000000000002,0.17,0.6400000000000001,0.5,0.57,0.5,1990-Q1,9353.666666666666,96.60000000000001
1990,BG,Q1,4.85,9886,10081,11529,1.83,601,716,618,499,98.8,95.0,70.0,14.0,16.1,90.7,32.5,24.1,0.84,24,926,58,3.3,94.3,1.67,72,15.7,10.9,108,553,2.9,67,0.67,4.6,2024-12-14 14:21:56.933000,0.2833333333333332,0.962,0.5203800950237559,0.3058894230769231,0.22000000000000006,0.4624999999999999,0.18000000000000008,0.16,0.106,0.5999999999999991,0.625,0.8,0.9,0.56,0.6,0.63,0.9333333333333333,1990-Q1,10498.666666666666,98.56944444444446
1990,HR,Q1,6.99,7167,11876,14142,2.88,1872,555,440,534,97.5,91.1,70.3,12.3,18.4,97.0,33.2,41.1,0.78,27,828,38,3.8,79.5,1.74,78,17.4,13.1,132,666,2.0,97,0.64,3.0,2024-12-14 14:21:56.934000,0.9966666666666667,0.05566666666666667,0.9692423105776444,0.8293269230769231,0.9199999999999999,0.6749999999999998,0.6199999999999999,0.64,0.332,0.16666666666666666,0.1374999999999993,0.8119999999999998,0.7300000000000001,0.3200000000000003,0.9,0.14,0.26666666666666666,1990-Q1,11061.666666666666,88.2038888888889
1990,CY,Q1,4.3,7111,8245,13619,1.52,819,764,661,1199,99.5,97.9,68.1,10.9,9.3,82.7,34.6,48.7,0.73,27,832,54,3.7,87.6,1.09,97,12.2,10.7,149,731,3.5,79,0.73,3.1,2024-12-14 14:21:56.935000,0.09999999999999994,0.037,0.06126531632908227,0.7245592948717948,0.013333333333333345,0.02499999999999991,0.13999999999999985,0.98,0.462,0.8333333333333334,0.9875000000000007,0.7239999999999998,0.5900000000000001,0.1200000000000001,0.9,0.16,0.8,1990-Q1,9658.333333333334,92.09166666666668
1990,CZ,Q1,5.19,9594,9487,13207,2.21,557,655,729,1182,99.4,97.3,67.8,6.7,17.1,71.3,33.6,41.4,0.92,22,804,40,5.0,76.8,0.51,58,19.6,12.3,102,598,4.4,100,0.7,2.5,2024-12-14 14:21:56.935000,0.3966666666666668,0.8646666666666667,0.371842960740185,0.6420272435897436,0.47333333333333333,0.9500000000000002,0.46000000000000013,0.04,0.196,0.8000000000000019,0.9124999999999996,0.7119999999999999,0.17,0.8800000000000003,0.4,0.02,0.3333333333333333,1990-Q1,10762.666666666666,84.07194444444444
1990,DK,Q1,5.53,7589,8098,13428,2.86,1676,468,417,646,99.7,94.1,68.8,9.2,8.0,72.8,12.1,27.8,0.73,22,973,33,4.7,74.4,1.62,81,18.8,10.6,104,791,3.2,58,0.66,1.4,2024-12-14 14:21:56.936000,0.5100000000000001,0.19633333333333333,0.024506126531632907,0.6862980769230769,0.9066666666666666,0.8500000000000001,0.11999999999999993,0.08,0.582,0.9000000000000009,0.5124999999999993,0.7519999999999999,0.41999999999999993,0.1200000000000001,0.4,0.865,0.1,1990-Q1,9705.0,99.32791666666667
1990,EE,Q1,6.3,7893,8483,12485,1.91,1008,584,890,557,99.1,94.5,55.3,13.7,16.8,77.5,14.7,25.8,0.89,22,950,33,4.2,65.7,1.26,53,15.8,10.2,135,912,1.5,75,0.77,1.1,2024-12-14 14:21:56.937000,0.7666666666666666,0.2976666666666667,0.1207801950487622,0.4973958333333333,0.27333333333333326,0.4750000000000001,0.039999999999999855,0.7,0.824,0.6999999999999981,0.5625,0.21199999999999988,0.8699999999999999,0.7600000000000002,0.4,0.75,0.1,1990-Q1,9620.333333333334,94.33833333333332
1990,FI,Q1,4.42,7745,8900,12677,1.7,1607,479,784,551,97.5,96.7,51.5,14.4,12.1,72.6,12.5,48.6,0.72,28,903,39,4.0,66.0,1.83,87,19.7,14.9,146,729,4.2,65,0.77,2.6,2024-12-14 14:21:56.937000,0.13999999999999999,0.24833333333333332,0.2250562640660165,0.5358573717948718,0.1333333333333333,0.9624999999999999,0.9800000000000001,0.92,0.458,0.16666666666666666,0.8375000000000004,0.06,0.9400000000000001,0.08000000000000007,1.0,0.515,0.3,1990-Q1,9774.0,94.28708333333333
1990,FR,Q1,4.73,7199,11093,11344,2.76,1243,502,601,660,99.7,94.1,54.3,11.4,8.2,92.9,19.2,40.0,0.81,19,817,30,4.3,67.7,0.97,54,18.2,13.1,139,666,2.8,78,0.81,2.8,2024-12-14 14:21:56.939000,0.24333333333333348,0.06633333333333333,0.77344336084021,0.2688301282051282,0.8399999999999999,0.7749999999999999,0.6199999999999999,0.78,0.332,0.9000000000000009,0.5124999999999993,0.17199999999999988,0.64,0.4400000000000004,0.1,0.085,0.0,1990-Q1,9878.666666666666,82.86708333333334
